department,first_name,last_name,rmp_score,num_reviews,profile_url
Mathematics,Melody,Molander,4.3,9,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEzNDMy
Mathematics,Emille,Davie,2.4,9,https://ucsbplat.com/instructor/VGVhY2hlci0xMTA4NDIw
Mathematics,Zuhair,Mullath,4.8,9,https://ucsbplat.com/instructor/VGVhY2hlci0yNzUyMjE4
Mathematics,Padraic,Bartlett,4.9,9,https://ucsbplat.com/instructor/VGVhY2hlci0xODQ0ODAx
Mathematics,Peter,Merkx,3.7,8,https://ucsbplat.com/instructor/VGVhY2hlci0yMDIxOTM5
Mathematics,Sui,Tang,3.5,8,https://ucsbplat.com/instructor/VGVhY2hlci0yNjU5OTM4
Mathematics,Christian,Martinez-Esparza,4.5,8,https://ucsbplat.com/instructor/VGVhY2hlci0yMTE1NjE5
Mathematics,Pawel,Gladki,2.1,8,https://ucsbplat.com/instructor/VGVhY2hlci0xMTAxMzU5
Mathematics,Andrew,Cotton-Clay,4.3,8,https://ucsbplat.com/instructor/VGVhY2hlci0xOTk5NTQ1
Mathematics,Yuanqi,Wang,3.0,8,https://ucsbplat.com/instructor/VGVhY2hlci0xODYxMzc2
Mathematics,Rugang,Ye,1.8,7,https://ucsbplat.com/instructor/VGVhY2hlci0yMTA3NDM3
Mathematics,Elise,Weir,4.3,7,https://ucsbplat.com/instructor/VGVhY2hlci0yNTQ5NzEw
Mathematics,Mychelle,Parker,4.4,7,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEzMjYz
Mathematics,Alex,Dugas,4.1,7,https://ucsbplat.com/instructor/VGVhY2hlci0xMTk0OTI4
Mathematics,Drew,Jaramillo,4.8,6,https://ucsbplat.com/instructor/VGVhY2hlci0xNDc1ODM3
Mathematics,Baldvin,Einarsson,3.7,6,https://ucsbplat.com/instructor/VGVhY2hlci0xODA3ODIw
Mathematics,Tim,Speer,4.5,6,https://ucsbplat.com/instructor/VGVhY2hlci0xNjA0MDkx
Mathematics,Roberto,Molinari,4.5,6,https://ucsbplat.com/instructor/VGVhY2hlci0yMTc5NzE0
Mathematics,Thomas,Howard,1.7,6,https://ucsbplat.com/instructor/VGVhY2hlci0xNjgzMTg1
Mathematics,Ashlee,Kalauli,5.0,5,https://ucsbplat.com/instructor/VGVhY2hlci0yNTE4OTI5
Mathematics,Daniel,Barter,2.6,5,https://ucsbplat.com/instructor/VGVhY2hlci0yNTU0OTA0
Mathematics,Nancy,Scherich,4.4,5,https://ucsbplat.com/instructor/VGVhY2hlci0yMTYzMzQy
Mathematics,Grace,Wu,4.6,5,https://ucsbplat.com/instructor/VGVhY2hlci0yOTE3NDgx
Mathematics,Tomas,Kababbe,4.8,5,https://ucsbplat.com/instructor/VGVhY2hlci0xNTIzNTU5
Mathematics,Fedya,Manin,4.2,5,https://ucsbplat.com/instructor/VGVhY2hlci0yNzA2MTA3
Mathematics,Ashwin,Trisal,2.6,5,https://ucsbplat.com/instructor/VGVhY2hlci0yNTA5Njky
Mathematics,Nathan,Williams,3.6,5,https://ucsbplat.com/instructor/VGVhY2hlci0yMjQyNDM1
Mathematics,Lee,Kennard,4.1,4,https://ucsbplat.com/instructor/VGVhY2hlci0xNzU4Njg3
Mathematics,Brittany,Erickson,4.7,4,https://ucsbplat.com/instructor/VGVhY2hlci0xNDIxMzA0
Mathematics,Daniel,Halmrast,5.0,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNjEzNDEx
Mathematics,Hermon,Fonseca,1.0,4,https://ucsbplat.com/instructor/VGVhY2hlci0yNDMzNjU1
Mathematics,Samuel,Ballas,3.1,4,https://ucsbplat.com/instructor/VGVhY2hlci0xOTkyODYz
Mathematics,Shawn,Wirts,2.8,4,https://ucsbplat.com/instructor/VGVhY2hlci0xNjAyNTMy
Mathematics,Megan,Elcheikhali,4.7,3,https://ucsbplat.com/instructor/VGVhY2hlci0yNzM4NTc2
Mathematics,carlos,cervera,1.0,3,https://ucsbplat.com/instructor/VGVhY2hlci0zMDM0MDAw
Mathematics,Kevin,Tian,2.7,3,https://ucsbplat.com/instructor/VGVhY2hlci0yNDExNDg0
Mathematics,Leslie,Mavrakis,4.7,3,https://ucsbplat.com/instructor/VGVhY2hlci0yODIxODk1
Mathematics,Charles,Martin,1.2,3,https://ucsbplat.com/instructor/VGVhY2hlci0xNDUzNzA3
Mathematics,Amanda,Curtis,4.0,3,https://ucsbplat.com/instructor/VGVhY2hlci0yMDM4NzE0
Mathematics,Ethan,Robinett,5.0,2,https://ucsbplat.com/instructor/VGVhY2hlci0yNTExMDAx
Mathematics,Kyle,Hansen,4.5,2,https://ucsbplat.com/instructor/VGVhY2hlci0yOTAzNjAz
Mathematics,Claire,Murphy,3.5,2,https://ucsbplat.com/instructor/VGVhY2hlci0yOTE2ODY2
Mathematics,Garett,Johnson,1.5,2,https://ucsbplat.com/instructor/VGVhY2hlci0xNTA4NzUz
Mathematics,Hyun-Jung,Kim,3.0,2,https://ucsbplat.com/instructor/VGVhY2hlci0yNjc1MjA2
Mathematics,Denis,Lebutin,5.0,2,https://ucsbplat.com/instructor/VGVhY2hlci0xMTc4MDI5
Mathematics,ALONSO,RODRIG,3.5,2,https://ucsbplat.com/instructor/VGVhY2hlci0zMDE1NTA5
Mathematics,Chris,Dare,5.0,2,https://ucsbplat.com/instructor/VGVhY2hlci0zMDI1MTA2
